Customer_ID,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
1,12669,9656,7561,214,2674,1338
2,7057,9810,9568,1762,3293,1776
3,13265,1196,4221,6404,507,1788
4,9413,8259,5126,666,1795,1451
5,12126,3199,6975,480,3140,545
6,7579,4956,9426,1669,3321,2566
7,5963,3648,6192,425,1716,750
8,6006,11093,18881,1159,7425,2098
9,3366,5403,12974,4400,5977,1744
10,13146,1124,4523,1420,549,497
11,31714,12319,11757,287,3881,2931
12,21217,6208,14982,3095,6707,602
13,24653,9465,12091,294,5058,2168
14,10253,1114,3821,397,964,412
15,1020,8816,12121,134,4508,1080
16,5876,6157,2933,839,370,4478
17,18601,6327,10099,2205,2767,3181
18,7780,2495,9464,669,2518,501
19,17546,4519,4602,1066,2259,2124
20,5567,871,2010,3383,375,569
21,31276,1917,4469,9408,2381,4334
22,16165,4230,7595,201,4003,57
23,9898,961,2861,3151,242,833
24,14276,803,3045,485,100,518
25,18815,3610,11107,1148,2134,2963
26,2612,4339,3133,2088,820,985
27,21632,1318,2886,266,918,405
28,29729,4786,7326,6130,361,1083
29,1502,1979,2262,425,483,395
30,688,5491,11091,833,4239,436
31,15168,10556,12477,1920,6506,714
32,4591,15729,16709,33,6956,433
33,19176,3065,5956,2033,2575,2802
34,10850,7555,14961,188,6899,46
35,630,11095,23998,787,9529,72
36,9670,7027,10471,541,4618,65
37,3103,14069,21955,1668,6792,1452
38,11519,6152,10868,584,5121,1476
39,6269,1095,1980,3860,609,2162
40,3347,4051,6996,239,1538,301
41,491,10473,11532,744,5611,224
42,27329,1449,1947,2436,204,1333
43,5264,3683,5005,1057,2024,1130
44,5417,9933,10487,38,7572,1282
45,13779,1970,1648,596,227,436
46,6137,5360,8040,129,3084,1603
47,8590,3045,7854,96,4095,225
48,7823,6245,6544,4154,4074,964
49,9396,11601,15775,2896,7677,1295
50,4760,1227,3250,3724,1247,1145
51,9,1534,7417,175,3468,27
52,19913,6759,13462,1256,5141,834
53,2446,7260,3993,5870,788,3095
54,8352,2820,1293,779,656,144
55,4420,5139,2661,8872,1321,181
56,19899,5332,8713,8132,764,648
57,8190,6343,9794,1285,1901,1780
58,20398,1137,3,4407,3,975
59,717,3587,6532,7530,529,894
60,10766,1175,2067,2096,301,167
61,1640,3259,3655,868,1202,1653
62,7005,829,3009,430,610,529
63,219,9540,14403,283,7818,156
64,10362,9232,11009,737,3537,2342
65,20874,1563,1783,2320,550,772
66,11867,3327,4814,1178,3837,120
67,7864,542,4042,9735,165,46
68,24904,3836,5330,3443,454,3178
69,11405,596,1638,3347,69,360
70,12754,2762,2530,8693,627,1117
71,5626,12220,11323,206,5038,244
72,3,2920,6252,440,223,709
73,23,2616,8118,145,3874,217
74,403,254,610,774,54,63
75,503,112,778,895,56,132
76,9658,2182,1909,5639,215,323
77,11594,7779,12144,3252,8035,3029
78,1420,10810,16267,1593,6766,1838
79,2932,6459,7677,2561,4573,1386
80,14100,2132,3445,1336,1491,548
81,15587,1014,3970,910,139,1378
82,1454,6337,10704,133,6830,1831
83,8797,10646,14886,2471,8969,1438
84,1531,8397,6981,247,2505,1236
85,11818,1648,1694,2276,169,1647
86,12579,11114,17569,805,6457,1519
87,19046,2770,2469,8853,483,2708
88,14438,2295,1733,3220,585,1561
89,18044,1080,2000,2555,118,1266
90,11134,793,2988,2715,276,610
91,11173,2521,3355,1517,310,222
92,6990,3880,5380,1647,319,1160
93,20049,1891,2362,5343,411,933
94,8258,2344,2147,3896,266,635
95,17160,1200,3412,2417,174,1136
96,4020,3234,1498,2395,264,255
97,12212,201,245,1991,25,860
98,11170,10769,8814,2194,1976,143
99,36050,1642,2961,4787,500,1621
